
Looking for After-School All-Stars in year 2018

Looking for After-School All-Stars in year 2018
['greater san antonio after-school all-stars', 'https://s3.amazonaws.com/irs-form-990/201830529349300738_public.xml']
['after-school all-stars hawaii', 'https://s3.amazonaws.com/irs-form-990/201801239349301970_public.xml']
['after-school all-stars los angeles', 'https://s3.amazonaws.com/irs-form-990/201841239349301969_public.xml']
['south florida after-school all-stars inc', 'https://s3.amazonaws.com/irs-form-990/201801099349300300_public.xml']

Looking for Springboard in year 2018
['springboard inc', 'https://s3.amazonaws.com/irs-form-990/201703199349209210_public.xml']
['springboard initiative', 'https://s3.amazonaws.com/irs-form-990/201723199349307047_public.xml']
['springboard 2000 enterprises inc', 'https://s3.amazonaws.com/irs-form-990/201713139349301421_public.xml']
['springboard to success', 'https://s3.amazonaws.com/irs-form-990/201743199349206639_public.xml']
['springboard for the arts', 'https://s3.amazonaws.com/irs-form-990/201830399349301048_public.xml']
['springboard kitchens', 'https://s3.amazonaws.com/irs-form-990/201801229349301330_public.xml']

Looking for Learning Tree in year 2018
['lois learning tree daycare center', 'https://s3.amazonaws.com/irs-form-990/201733189349312308_public.xml']
['learning tree', 'https://s3.amazonaws.com/irs-form-990/201713189349312276_public.xml']
['learning tree childcare inc', 'https://s3.amazonaws.com/irs-form-990/201713199349313496_public.xml']
['learning tree development center', 'https://s3.amazonaws.com/irs-form-990/201743199349202409_public.xml']
['liberty learning tree dignity', 'https://s3.amazonaws.com/irs-form-990/201743179349203959_public.xml']

Looking for Girls on the Run in year 2018
['girls on the run of spokane county', 'https://s3.amazonaws.com/irs-form-990/201723409349200727_public.xml']
['girls on the run-rio grande valley', 'https://s3.amazonaws.com/irs-form-990/201743189349204344_public.xml']
['girls on the run-idaho inc', 'https://s3.amazonaws.com/irs-form-990/201733199349201843_public.xml']
['girls on the run of lancaster', 'https://s3.amazonaws.com/irs-form-990/201723359349300602_public.xml']
['girls on the run of montgomery and delaware counties pa', 'https://s3.amazonaws.com/irs-form-990/201743259349300624_public.xml']
['girls on the run of dayton', 'https://s3.amazonaws.com/irs-form-990/201703199349201260_public.xml']
['girls on the run of the dfw metroplex', 'https://s3.amazonaws.com/irs-form-990/201723179349306512_public.xml']
['girls on the run south louisiana', 'https://s3.amazonaws.com/irs-form-990/201733189349313043_public.xml']
['girls on the run nj east inc', 'https://s3.amazonaws.com/irs-form-990/201713179349303496_public.xml']
['girls on the run birmingham inc', 'https://s3.amazonaws.com/irs-form-990/201713129349303601_public.xml']
['girls on the run orange county', 'https://s3.amazonaws.com/irs-form-990/201723109349200822_public.xml']
['girls on the run southern maryland inc', 'https://s3.amazonaws.com/irs-form-990/201723179349201977_public.xml']
['girls on the run of nova', 'https://s3.amazonaws.com/irs-form-990/201713119349300121_public.xml']
['girls on the run las vegas', 'https://s3.amazonaws.com/irs-form-990/201743049349201119_public.xml']
['girls on the run of puget sound', 'https://s3.amazonaws.com/irs-form-990/201703129349303575_public.xml']
['girls on the run of northeast florida', 'https://s3.amazonaws.com/irs-form-990/201723079349301972_public.xml']
['girls on the run triad', 'https://s3.amazonaws.com/irs-form-990/201743049349200044_public.xml']
['girls on the run of collier county', 'https://s3.amazonaws.com/irs-form-990/201713249349200701_public.xml']
['girls on the run of the chippewa valley inc', 'https://s3.amazonaws.com/irs-form-990/201713149349201171_public.xml']
['girls on the run of north central west virginia inc', 'https://s3.amazonaws.com/irs-form-990/201723119349200607_public.xml']
['capital area girls on the run', 'https://s3.amazonaws.com/irs-form-990/201810239349301061_public.xml']
['girls on the run delaware inc', 'https://s3.amazonaws.com/irs-form-990/201703129349301960_public.xml']
['girls on the run of northeast tn inc', 'https://s3.amazonaws.com/irs-form-990/201810089349300516_public.xml']
['girls on the run of wnc', 'https://s3.amazonaws.com/irs-form-990/201840459349301424_public.xml']
['girls on the run worcester county inc', 'https://s3.amazonaws.com/irs-form-990/201800859349300700_public.xml']
['girls on the run of montgomery county inc', 'https://s3.amazonaws.com/irs-form-990/201810559349300321_public.xml']
['girls on the run of shreveport', 'https://s3.amazonaws.com/irs-form-990/201713179349201126_public.xml']
['girls on the run serving greater kansas city', 'https://s3.amazonaws.com/irs-form-990/201840339349300004_public.xml']
['girls on the run - sierras', 'https://s3.amazonaws.com/irs-form-990/201820089349301722_public.xml']
['girls on the run of eastern iowa', 'https://s3.amazonaws.com/irs-form-990/201820479349200332_public.xml']
['girls on the run nyc inc', 'https://s3.amazonaws.com/irs-form-990/201841079349300624_public.xml']
['girls on the run of northeast wisconsin inc', 'https://s3.amazonaws.com/irs-form-990/201830969349200143_public.xml']
['girls on the run of eastern iowa', 'https://s3.amazonaws.com/irs-form-990/201831239349200738_public.xml']
['girls on the run of snohomish county', 'https://s3.amazonaws.com/irs-form-990/201801299349202025_public.xml']
['girls on the run greater hartford inc', 'https://s3.amazonaws.com/irs-form-990/201841359349313294_public.xml']
['girls on the run of volusia', 'https://s3.amazonaws.com/irs-form-990/201801029349200505_public.xml']
['girls on the run orlando inc', 'https://s3.amazonaws.com/irs-form-990/201841359349206974_public.xml']

Looking for Youth Leadership Foundation in year 2018
['youth leadership foundation', 'https://s3.amazonaws.com/irs-form-990/201703119349201650_public.xml']
['youth leadership foundation inc', 'https://s3.amazonaws.com/irs-form-990/201830669349300773_public.xml']
['wasatch youth leadership foundation', 'https://s3.amazonaws.com/irs-form-990/201830319349100423_public.xml']

Looking for Beacon House in year 2018
['beacon house', 'https://s3.amazonaws.com/irs-form-990/201723199349316742_public.xml']
['beacon house', 'https://s3.amazonaws.com/irs-form-990/201830089349301553_public.xml']
['beacon house association of san pedro', 'https://s3.amazonaws.com/irs-form-990/201801319349303165_public.xml']
['beacon house inc', 'https://s3.amazonaws.com/irs-form-990/201820609349200537_public.xml']
['beacon house community ministry inc', 'https://s3.amazonaws.com/irs-form-990/201841369349301224_public.xml']

Looking for Common Threads in year 2018
['common threads', 'https://s3.amazonaws.com/irs-form-990/201703189349302565_public.xml']
['common threads farm', 'https://s3.amazonaws.com/irs-form-990/201733199349318878_public.xml']

Looking for Field of Dreams in year 2018
['field of dreams horse rescue and adoption', 'https://s3.amazonaws.com/irs-form-990/201733149349200928_public.xml']
['field of dreams inc', 'https://s3.amazonaws.com/irs-form-990/201723179349301912_public.xml']
['space coast field of dreams inc', 'https://s3.amazonaws.com/irs-form-990/201733179349306323_public.xml']
['frankys field of dreams foundation inc', 'https://s3.amazonaws.com/irs-form-990/201711739349100311_public.xml']
['south jersey field of dreams inc', 'https://s3.amazonaws.com/irs-form-990/201743039349200439_public.xml']
['field of dreams inc', 'https://s3.amazonaws.com/irs-form-990/201811219349301731_public.xml']
['sonoma valley field of dreams', 'https://s3.amazonaws.com/irs-form-990/201841379349200444_public.xml']

Looking for Growing Together in year 2018
['graceful growing together inc', 'https://s3.amazonaws.com/irs-form-990/201743189349203529_public.xml']
['growing together inc', 'https://s3.amazonaws.com/irs-form-990/201820299349300337_public.xml']
['creciendo unidos growing together', 'https://s3.amazonaws.com/irs-form-990/201801039349300200_public.xml']

Looking for Champions in year 2018
['ocean champions', 'https://s3.amazonaws.com/irs-form-990/201723199349317392_public.xml']
['champions creek civic improvement association', 'https://s3.amazonaws.com/irs-form-990/201703189349311055_public.xml']
['players championship village inc jeanne lightcap', 'https://s3.amazonaws.com/irs-form-990/201713199349300426_public.xml']
