Org name,Most recent year,Description,,,Employees,Volunteers,,Previous year grants,Current year grants,Current year service rev,Previous year service,,PY other rev,CY other rev,PY total,CY total,,,,,,,,,,,,,,,,,,Net assets beginning of year,Net assets end of year
AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
Just Keep Livin,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3055894,3516140,234,0,,
Latino Student Fund,2017,"THE LATINO STUDENT FUND (LSF) IS A NON-PROFIT ORGANIZATION FOUNDED IN 1994 IN WASHINGTON, D.C. WITH A MISSION TO PROVIDE OPPORTUNITIES FOR A STRONG ACADEMIC FOUNDATION FOR UNDERSERVED PREK-12TH GRADE STUDENTS OF HISPANIC DESCENT AND TO PROMOTE HIGHER EDUCATION AND PROFESSIONAL LEADERSHIP.",14,14,9,296,0,558286,502646,32507,485,681,8145,25259,566916,561093,78500,62500,0,291222,350294,0,70073,213177,202212,582899,615006,-15983,-53913,349965,276101,23987,34180,325978,241921
Little Lights Urban Ministries,2017,"LITTLE LIGHTS URBAN MINISTRIES EMPOWERS UNDER-SERVED YOUTH AND FAMILIES IN WASHINGTON, DC WITH THE LOVE OF CHRIST. WE SEEK TO DEVELOP THEIR GOD-GIVEN POTENTIAL SPIRITUALLY, SOCIALLY, AND INTELLECTUALLY THROUGH ACADEMICS, LIFE SKILLS, THE ARTS, AND DISCIPLESHIP.",12,11,59,631,0,1210232,1219379,0,1957,4407,34443,38892,1246632,1262678,,0,0,644105,757947,0,84446,432256,445114,1076361,1203061,170271,59617,1144289,1141079,228985,166158,915304,974921
Play Footy,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37211
Recreation Wish List Committee,2017,IMPROVING RECREATIONAL FACILITIES AND EDUCATIONAL PROGRAMS FOR DC CHILDREN & TEENS.,16,15,14,0,0,864916,553011,0,1176,773,-198550,0,667542,553784,0,0,0,169803,228463,15000,137677,254996,420614,424799,664077,242743,-110293,655670,447866,38607,14578,617063,433288
Young Ladies of Tomorrow,2017,YOUNG LADIES OF TOMORROW'S MISSION IS TO SERVE AS AN ALTERNATIVE TO THE JUVENILE JUSTICE SYSTEM FOR ADOLESCENT FEMALES FROM UNDERSERVED COMMUNITIES THROUGH A TRAUMA-INFORMED HOLISTIC APPROACH TO YOUTH DEVELOPMENT PROGRAMMING THAT EMPOWERS EACH YOUNG LADY TO SUCCESSFULLY TRANSITION INTO WOMANHOOD.,3,3,4,10,0,233172,147985,165952,0,0,0,0,233172,313937,0,0,0,107588,139100,0,5177,95797,101870,203385,240970,29787,72967,65509,116165,28375,6064,37134,110101
Life Pieces to Masterpieces,2017,YOUTH DEVELOPMENT PROGRAM FOR BOYS AND YOUNG MEN LIVING IN LOW-INCOME AND PUBLIC HOUSING.,16,15,42,40,0,1180986,1010579,33643,0,0,0,0,1215288,1044222,0,0,0,648787,710656,0,129943,442365,369897,1091152,1080553,124136,-36331,489927,473573,33805,53782,456122,419791
Planned Parenthood of Metropolitan Washington,2017,"SEE PART III, LINE 1.",24,24,103,75,0,6376498,6080535,4193921,4310449,87698,-43231,-90123,15573221,10272031,0,0,0,4483569,4160351,104886,705666,4868866,4720599,9406082,8985836,6167139,1286195,25714274,28602842,4942878,6035043,20771396,22567799
Calvin Coolidge Alumni Association,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70114,77723
CentroNia,2017,"EDUCATING CHILDREN AND STRENGTHENING FAMILIES, IN A BILINGUAL, MULTICULTURAL ENVIRONMENT.",15,15,269,300,0,9219863,10321187,1045250,,15834543,1132342,1515246,12429738,28716226,,0,0,9136602,9643247,0,273903,4574269,5033190,13710871,14676437,-1281133,14039789,6958972,18869449,6350302,4872627,608670,13996822
National Organization of Concerned Black Men,2017,"CONCERNED BLACK MEN NATIONAL PROVIDES GUIDANCE, SUPPORT AND ENCOURAGEMENT TO CHILDREN WHILE STABILIZING FAMILIES POSITIONING THEM TO LEAD HEALTH PRODUCTIVE LIVES.",6,5,28,125,0,2831272,1687251,0,,0,63,0,2831335,1687251,,0,0,1804778,966393,0,9570,932955,794259,2737733,1760652,93602,-73401,137743,118425,280442,334525,-142699,-216100
DC Scores,2016,"DC SCORES builds teams through after-school programs for 1,500 low-income DC youth at 47 schools by instilling self-expression, physical fitness, and a sense of community.",21,21,23,422,0,1200347,1328317,161003,357,119,756,2870,1803072,1492309,0,0,0,847293,963289,0,242673,989864,799707,1858157,1762996,-55085,-270687,804882,533611,50203,46308,754679,487303
Capitol Movement,2016,"TO BUILD BETTER LIVES THROUGH DANCE. WE STRIVE TO PROVIDE PROGRAMS AND OPPORTUNITIES FOR ALL, DESPITE SOCIOECONOMIC BARRIERS, BY OFFERING TRAVELING CLASSROOMS FOR SCHOOLS AND COMMUNITY PARTNERS IN NEED OF ARTS EDUCATION PROGRAMMING. WE ASSIST YOUNG PEOPLE FROM ECONOMICALLY DISADVANTAGED BACKGROUNDS VIA DANCE SCHOLARSHIP PROGRAMS AS WELL AS THROUGH TRAINING AT OUR SUMMER CAMP INTENSIVES, ANNUAL CONVENTIONS AND OUTREACH CLASSES. WE STRIVE TO MAKE IT POSSIBLE FOR ALL RESIDENTS OF THE DC METROPOLITAN AREA TO PARTICIPATE IN AND PATRONIZE THE ARTS. OUR DANCE PROGRAMS BUILD CONFIDENCE, ENCOURAGE TEAMWORK, TEACH COMMITMENT AND DISCIPLINE AND OPEN DOORS TO DREAMS, BRINGING DANCERS FROM ALL WALKS OF LIFE TOGETHER.",6,3,0,20,0,51583,30539,149686,,0,9255,0,144446,180225,,0,0,49340,0,0,1406,125437,138900,174777,138900,-30331,41325,8318,49643,,0,8318,49643
New Community for Children,2016,"TO EMPOWER CHILDREN THROUGH EDUCATIONAL, CULTURAL, AND SPIRITUAL ENRICHMENT. TOWARD THAT END, NCFC WORKS WITH PARENTS, TEACHERS, THE COMMUNITY, AND OTHER SOCIAL SERVICE ORGANIZATIONS IN WASHINGTON DC TO ADDRESS THE COMPREHENSIVE EDUCATIONAL NEEDS OF CHILDREN. NCFC PREPARES STUDENTS TO BECOME RESPONSIBLE AND PRODUCTIVE ADULTS WHO, IN TURN, WILL GIVE THEIR TIME AND TALENTS BACK TO THEIR COMMUNITIES.",7,4,14,40,0,564619,491755,1350,0,0,0,0,572160,493105,62927,125184,0,302423,231566,0,150,222446,190711,587796,547461,-15636,-54356,311818,350945,83315,176798,228503,174147
Zenith Community Arts Foundation,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194316,206257
