Org name,Most recent year,Description,,,Employees,Volunteers,,Previous year grants,Current year grants,Current year service rev,Previous year service,,PY other rev,CY other rev,PY total,CY total,,,,,,,,,,,,,,,,,,Net assets beginning of year,Net assets end of year
AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
Crittenton Services of Greater Washington,2018,"CRITTENTON SERVICES OF GREATER WASHINGTON IS A POSITIVE YOUTH DEVELOPMENT ORGANIZATION WITH A SINGULAR FOCUS-STRENGTHENING THE ABILITY OF TEEN WOMEN TO IDENTIFY, EMBRACE, AND ACHIEVE THEIR ACADEMIC, CAREER, AND LIFE GOALS DRAWING ON A 125-YEAR HISTORY OF WORKING WITH TEEN WOMEN, CRITTENTON DEVELOPS AND DELIVERS COMPREHENSIVE, SCIENCE-BASED PROGRAMS THAT HAVE PRODUCED MEASURABLE RESULTS IN (1) IMPROVING LIFE, WORKFORCE, AND LEADERSHIP SKILLS, (2) PREVENTING TEEN PREGNANCY, STI, AND HIV, AND (3) PREPARING TEENS FOR COLLEGE AND MEANINGFUL CAREERS.",9,9,12,46,0,348203,393927,835011,103096,271757,0,0,1015001,1500695,0,0,0,560265,649011,0,204774,496312,665382,1056577,1314393,-41576,186302,2031140,2011415,577239,524634,1453901,1486781
Washington School for Girls,2018,CLOSE THE EDUCATIONAL GAP AND BROADEN THE EDUCATIONAL OPPORTUNITIES FOR GIRLS FROM ECONOMICALLY DISADVANTAGED COMMUNITIES IN GRADES 3-8.,13,13,40,45,0,3285950,4265810,37130,90032,139557,0,0,3396757,4442497,0,0,0,1946886,2190086,0,424515,1173650,1357712,3120536,3547798,276221,894699,5181086,6274659,44487,57504,5136599,6217155
826DC,2018,826DC is a nonprofit organization dedicated to working with students ages 6-18 in developing their creative and expository writing skills and to working with teachers to inspire their students to write.,12,11,6,250,-17108,475368,669012,1750,57,5,-22156,35098,453269,705865,,0,0,303191,333459,0,176517,353018,271149,656209,604608,-202940,101257,261671,350120,285088,272280,-23417,77840
Beacon House Community Ministry,2018,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,10,9,21,150,0,1085424,1030056,43554,9765,53231,5874,72,1120467,1126913,0,0,0,553500,626754,0,109035,696498,584743,1249998,1211497,-129531,-84584,1271332,1145059,99890,106001,1171442,1039058
Best Friends Foundation,2018,"THE BEST FRIENDS FOUNDATION PROVIDES AN EDUCATIONAL CURRICULUM AND/OR GROUP ASSEMBLIES IN THE METROPOLITAN WASHINGOTN DC AREA FOR ADOLESCENT GIRLS AND BOYS, AGED 10-18, WHICH PROMOTES SELF-RESPECT THROUGH THE PRACTICE SELF -CONTROL BY PROVIDING SKILLS AND GUIDANCE WHICH HELPS THEM AVOID RISK BEHAVIOR. THE FIVE BASIC GOALS OF THE PROGRAM ARE:1. TO DEVELOP CRITICAL THINKING SKILLS IN ADOLESCENT GIRLS AND BOYS TO ENABLE THEM TO PROGRESS FROM THE CONCRETE TO THE FORMAL OPERATIONAL STATE OF REASONING.2. TO DEVELOP A SENSE OF SELF-RESPECT AND SELF-WORTH THROUGH ACHIEVEMENT AND COMMUNITY SERVICE.3. TO ENRICH THE LIVES OF ADOLESCENT GIRLS AND BOYS BY PROMOTING THIER ASPIRATIONS AND PROVIDING DECISION MAKING SKILLS.4. TO INCORPORATE THE SCHOOL AN FAMILIES INTO THE ADOLESCENT GIRLS AND BOY'S SUPPORT SYSTEM.5. TO PROVIDE POSITIVE PEER GROUPS FOR 10-18 YEAR OLD GIRLS IN WHICH THEY ARE VALUED MEMBERS AND IN WHICH THEY HAVE A SENSE OF CONNECTION TO THIER SCHOOL AND TO EACH OTHER.",7,6,1,0,0,291353,529764,0,11,12,34328,0,325692,529776,0,2000,0,0,155927,0,0,294392,408511,294392,566438,31300,-36662,57918,28291,678,59251,57240,-30960
CitiWide Computer Training Center,2018,"Provide training to low-income and disadvantaged District of Columbia residents, leading to professional licensure and certifications",9,9,2,,0,288491,237821,0,,0,,0,288491,237821,,0,0,85619,25091,0,0,251825,191490,337444,216581,-48953,21240,176457,178594,113148,94045,63309,84549
City Gate,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Common Threads,2018,TEACH LOW INCOME CHILDREN TO COOK WHOLESOME AND AFFORDABLE MEALS.,14,14,32,250,0,2462820,2896588,76952,1148,559,-17158,78520,2473012,3052619,0,0,0,1886336,1871971,0,396598,1322619,971000,3208955,2842971,-735943,209648,1855681,2067429,126524,128624,1729157,1938805
Dance Place,2018,"FOUNDED IN 1980, DANCE PLACE BUILDS A COMMUNITY OF ARTISTS, AUDIENCES, AND STUDENTS. THIS IS ACCOMPLISHED THROUGH HIGH QUALITY PERFORMANCES, COMMISSIONS, TRAINING AND EDUCATIONAL PROGRAMS. WE ARE COMMITTED TO ENRICHING THE FIELD OF DANCE LOCALLY, NATIONALLY AND INTERNATIONALLY. OUR THRIVING ARTS CAMPUS SERVES AS AN ANCHOR IN THE DEVELOPMENT OF OUR BROOKLAND/EDGEWOOD NEIGHBORHOOD IN WASHINGTON, DC.",18,17,30,56,3360,1312698,1475448,594067,725,528,-5655,-17738,1854890,2052305,0,0,0,818963,852075,0,175501,941479,1006944,1760442,1859019,94448,193286,4779191,4888601,610297,526421,4168894,4362180
DC Creative Writing Workshop,2018,"THE DCCWW, BASED IN THE CONGRESS HEIGHTS NEIGHBORHOOD OF SOUTHEAST D.C., UNITES PARENTS, TEACHERS AND PROFESSIONAL WRITERS-IN-RESIDENCE TO TRANSFORM THE LIVES OF YOUTH THROUGH SELF-EXPRESSION AND THE POWER OF THE WRITTEN WORD.",6,6,8,5,3838,158740,149810,150,4391,3838,,0,163281,153798,,0,0,119596,148204,0,0,34710,37508,154306,185712,8975,-31914,161176,131226,2723,5083,158453,126143
