,AAA Organization Name,AAA Year Found,activityormissiondesc,votingmembersgoverningbodycnt,votingmembersindependentcnt,totalemployeecnt,totalvolunteerscnt,totalgrossubiamt,pycontributionsgrantsamt,cycontributionsgrantsamt,cyprogramservicerevenueamt,pyinvestmentincomeamt,cyinvestmentincomeamt,pyotherrevenueamt,cyotherrevenueamt,pytotalrevenueamt,cytotalrevenueamt,pygrantsandsimilarpaidamt,cygrantsandsimilarpaidamt,cybenefitspaidtomembersamt,pysalariescompempbnftpaidamt,cysalariescompempbnftpaidamt,cytotalproffndrsngexpnsamt,cytotalfundraisingexpenseamt,pyotherexpensesamt,cyotherexpensesamt,pytotalexpensesamt,cytotalexpensesamt,pyrevenueslessexpensesamt,cyrevenueslessexpensesamt,totalassetsboyamt,totalassetseoyamt,totalliabilitiesboyamt,totalliabilitieseoyamt,netassetsorfundbalancesboyamt,netassetsorfundbalanceseoyamt
0,Beacon House Community Ministry,2018,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,10,9,21,150,0,1085424,1030056,43554,9765,53231,5874,72,1120467,1126913,0,0,0,553500,626754,0,109035,696498,584743,1249998,1211497,-129531,-84584,1271332,1145059,99890,106001,1171442,1039058
0,Beacon House Community Ministry,2017,To prepare at-risk youth for productive involvement in their community and society.,11,10,14,160,0,963273,1292014,19379,17397,83281,1347,3579,1010467,1398253,HEADERFILL-NULL,0,0,510707,532632,0,4236,530063,554092,1040770,1086724,-30303,311529,1400885,1504655,99912,-22599,1300973,1527254
0,Beacon House Community Ministry,2015,TO PREPARE AT-RISK YOUTH FOR PRODUCTIVE INVOLVEMENT IN THEIR COMMUNITY AND SOCIETY.,12,11,16,162,0,992822,963273,28450,18594,17397,4369,1347,1022991,1010467,0,0,0,544841,510707,0,66956,450029,530063,994870,1040770,28121,-30303,1359023,1400885,88949,99912,1270074,1300973
0,Best Friends Foundation,2018,"THE BEST FRIENDS FOUNDATION PROVIDES AN EDUCATIONAL CURRICULUM AND/OR GROUP ASSEMBLIES IN THE METROPOLITAN WASHINGOTN DC AREA FOR ADOLESCENT GIRLS AND BOYS, AGED 10-18, WHICH PROMOTES SELF-RESPECT THROUGH THE PRACTICE SELF -CONTROL BY PROVIDING SKILLS AND GUIDANCE WHICH HELPS THEM AVOID RISK BEHAVIOR. THE FIVE BASIC GOALS OF THE PROGRAM ARE:1. TO DEVELOP CRITICAL THINKING SKILLS IN ADOLESCENT GIRLS AND BOYS TO ENABLE THEM TO PROGRESS FROM THE CONCRETE TO THE FORMAL OPERATIONAL STATE OF REASONING.2. TO DEVELOP A SENSE OF SELF-RESPECT AND SELF-WORTH THROUGH ACHIEVEMENT AND COMMUNITY SERVICE.3. TO ENRICH THE LIVES OF ADOLESCENT GIRLS AND BOYS BY PROMOTING THIER ASPIRATIONS AND PROVIDING DECISION MAKING SKILLS.4. TO INCORPORATE THE SCHOOL AN FAMILIES INTO THE ADOLESCENT GIRLS AND BOY'S SUPPORT SYSTEM.5. TO PROVIDE POSITIVE PEER GROUPS FOR 10-18 YEAR OLD GIRLS IN WHICH THEY ARE VALUED MEMBERS AND IN WHICH THEY HAVE A SENSE OF CONNECTION TO THIER SCHOOL AND TO EACH OTHER.",7,6,1,0,0,291353,529764,0,11,12,34328,0,325692,529776,0,2000,0,0,155927,0,0,294392,408511,294392,566438,31300,-36662,57918,28291,678,59251,57240,-30960
0,Best Friends Foundation,2016,"The Best Friends Foundation provides an educational curriculum and/or group assemblies in the Metropolitan Washington DC area for adolescent girls and boys, Aged 10-18, which promotes self-respect through the practice self-control by providing skills and guidance which help them avoid risk behavior.The five basic goals of the Best Friends / Best Men program are:1. To develop critical thinking skills in adolescent girls and boys to enable them to progress from the concrete to the formal operational stage of reasoning.2. To develop a sense of self-respect and self-worth through achievement and community service.3. To enrich the lives of adolescent girls and boys by promoting their aspirations and providing decision-making skills.4. To incorporate the school and families into the adolescent girls' and boys' support system.5. To provide positive peer groups for 10-18 year old girls in which they are valued members and in which they have a sense of connection to their school and to each oth",7,6,1,HEADERFILL-NULL,0,141450,133663,0,1,2,HEADERFILL-NULL,0,141451,133665,2200,5288,0,25534,49719,0,12088,33730,96089,61464,151096,79987,-17431,73459,30976,30088,5036,43371,25940
0,Best Friends Foundation,2015,"The Best Friends Foundation provides an educational curriculum and/or group assemblies in the Metropolitan Washington DC area for adolescent girls and boys, Aged 10-18, which promotes self-respect through the practice self-control by providing skills and guidance which help them avoid risk behavior.The five basic goals of the Best Friends / Best Men program are:1. To develop critical thinking skills in adolescent girls and boys to enable them to progress from the concrete to the formal operational stage of reasoning.2. To develop a sense of self-respect and self-worth through achievement and community service.3. To enrich the lives of adolescent girls and boys by promoting their aspirations and providing decision-making skills.4. To incorporate the school and families into the adolescent girls' and boys' support system.5. To provide positive peer groups for 10-18 year old girls in which they are valued members and in which they have a sense of connection to their school and to each oth",8,7,4,HEADERFILL-NULL,0,170391,141450,0,2,1,HEADERFILL-NULL,0,170393,141451,HEADERFILL-NULL,2200,0,96909,25534,0,6660,94156,33730,191065,61464,-20672,79987,71778,73459,33394,30088,38384,43371
0,Calvin Coolidge Alumni Association,2017,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,HEADERFILL-NULL,70114,77723
0,Capitol Movement,2016,"TO BUILD BETTER LIVES THROUGH DANCE. WE STRIVE TO PROVIDE PROGRAMS AND OPPORTUNITIES FOR ALL, DESPITE SOCIOECONOMIC BARRIERS, BY OFFERING TRAVELING CLASSROOMS FOR SCHOOLS AND COMMUNITY PARTNERS IN NEED OF ARTS EDUCATION PROGRAMMING. WE ASSIST YOUNG PEOPLE FROM ECONOMICALLY DISADVANTAGED BACKGROUNDS VIA DANCE SCHOLARSHIP PROGRAMS AS WELL AS THROUGH TRAINING AT OUR SUMMER CAMP INTENSIVES, ANNUAL CONVENTIONS AND OUTREACH CLASSES. WE STRIVE TO MAKE IT POSSIBLE FOR ALL RESIDENTS OF THE DC METROPOLITAN AREA TO PARTICIPATE IN AND PATRONIZE THE ARTS. OUR DANCE PROGRAMS BUILD CONFIDENCE, ENCOURAGE TEAMWORK, TEACH COMMITMENT AND DISCIPLINE AND OPEN DOORS TO DREAMS, BRINGING DANCERS FROM ALL WALKS OF LIFE TOGETHER.",6,3,0,20,0,51583,30539,149686,HEADERFILL-NULL,0,9255,0,144446,180225,HEADERFILL-NULL,0,0,49340,0,0,1406,125437,138900,174777,138900,-30331,41325,8318,49643,HEADERFILL-NULL,0,8318,49643
0,CentroNia,2017,"EDUCATING CHILDREN AND STRENGTHENING FAMILIES, IN A BILINGUAL, MULTICULTURAL ENVIRONMENT.",15,15,269,300,0,9219863,10321187,1045250,HEADERFILL-NULL,15834543,1132342,1515246,12429738,28716226,HEADERFILL-NULL,0,0,9136602,9643247,0,273903,4574269,5033190,13710871,14676437,-1281133,14039789,6958972,18869449,6350302,4872627,608670,13996822
0,CentroNia,2016,"EDUCATING CHILDREN AND STRENGTHENING FAMILIES, IN A BILINGUAL, MULTICULTURAL ENVIRONMENT.",15,14,303,300,35099,3839872,9219863,2077533,HEADERFILL-NULL,0,789349,1132342,5561032,12429738,HEADERFILL-NULL,0,0,3969827,9136602,0,203941,2105381,4574269,6075208,13710871,-514176,-1281133,7654700,6958972,6272675,6350302,1382025,608670
